[11/Sep/2025:16:00:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=41&from=2025-09-10&to=2025-09-10" [Client 172.19.0.1] [Length 13565] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records/282/edit"
[11/Sep/2025:16:05:00 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=&from=2025-09-09&to=2025-09-10" [Client 172.19.0.1] [Length 17205] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&all=1"
[11/Sep/2025:16:05:12 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10" [Client 172.19.0.1] [Length 17089] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=&from=2025-09-09&to=2025-09-10"
[11/Sep/2025:16:05:21 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&all=1" [Client 172.19.0.1] [Length 25508] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10"
[11/Sep/2025:16:05:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10" [Client 172.19.0.1] [Length 17073] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&all=1"
[11/Sep/2025:16:05:39 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc" [Client 172.19.0.1] [Length 17090] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10"
[11/Sep/2025:16:05:42 +0000] - - 499 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 0] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:05:43 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17052] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:08:05 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17006] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:08:13 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17035] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:08:17 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17092] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:09:47 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17037] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:10:01 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17153] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:11:15 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc" [Client 172.19.0.1] [Length 17148] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:11:22 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&remember=1&sort=amount&dir=asc" [Client 172.19.0.1] [Length 13918] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-09&to=2025-09-10&sort=amount&dir=asc"
[11/Sep/2025:16:11:34 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/investments?open_new=1&date=2025-09-10&total_invested=0%2C21&account_name=falchiphone%40gmail.com&broker=AVENUE&account=falchiphone%40gmail.com" [Client 172.19.0.1] [Length 6285] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&remember=1&sort=amount&dir=asc"
[11/Sep/2025:16:11:48 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records" [Client 172.19.0.1] [Length 13869] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/investments?open_new=1&date=2025-09-10&total_invested=0%2C21&account_name=falchiphone%40gmail.com&broker=AVENUE&account=falchiphone%40gmail.com"
[11/Sep/2025:16:12:03 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&sort=chat&dir=asc" [Client 172.19.0.1] [Length 13875] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records"
[11/Sep/2025:16:14:54 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&sort=chat&dir=asc" [Client 172.19.0.1] [Length 13917] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records"
[11/Sep/2025:16:14:57 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&sort=investment&dir=asc" [Client 172.19.0.1] [Length 13940] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&sort=chat&dir=asc"
[11/Sep/2025:16:15:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&all=1" [Client 172.19.0.1] [Length 13985] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&sort=investment&dir=asc"
[11/Sep/2025:16:15:44 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=&from=2025-09-10&to=2025-09-10" [Client 172.19.0.1] [Length 18388] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=72&from=2025-09-10&to=2025-09-10&all=1"
[11/Sep/2025:16:15:47 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-10&to=2025-09-10&sort=investment&dir=asc" [Client 172.19.0.1] [Length 17545] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=&from=2025-09-10&to=2025-09-10"
[11/Sep/2025:16:16:06 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-10&to=2025-09-10&sort=investment&dir=desc" [Client 172.19.0.1] [Length 18156] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-10&to=2025-09-10&sort=investment&dir=asc"
[11/Sep/2025:16:17:35 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records" [Client 172.19.0.1] [Length 13876] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?from=2025-09-10&to=2025-09-10&sort=investment&dir=desc"
[11/Sep/2025:16:21:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/chats?view=table" [Client 172.19.0.1] [Length 11689] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records"
[11/Sep/2025:16:21:52 +0000] - 302 302 - GET https contabilidade.falchi.com.br "/openai/chat/load/108" [Client 172.19.0.1] [Length 446] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/chats?view=table"
[11/Sep/2025:16:21:52 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/chat" [Client 172.19.0.1] [Length 10606] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/chats?view=table"
[11/Sep/2025:16:23:35 +0000] - 302 302 - GET https contabilidade.falchi.com.br "/" [Client 172.19.0.1] [Length 438] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:16:23:35 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/dashboard" [Client 172.19.0.1] [Length 5181] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:16:24:43 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/chat/attachment/18/view" [Client 172.19.0.1] [Length 1339364] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/chat"
[11/Sep/2025:16:26:00 +0000] - 200 200 - POST https contabilidade.falchi.com.br "/openai/chat" [Client 172.19.0.1] [Length 10961] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/chat"
[11/Sep/2025:17:10:57 +0000] - 302 302 - GET https contabilidade.falchi.com.br "/" [Client 172.19.0.1] [Length 438] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:17:10:57 +0000] - 302 302 - GET https contabilidade.falchi.com.br "/dashboard" [Client 172.19.0.1] [Length 422] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:17:10:57 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/login" [Client 172.19.0.1] [Length 3141] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:17:10:59 +0000] - 302 302 - POST https contabilidade.falchi.com.br "/login" [Client 172.19.0.1] [Length 434] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/login"
[11/Sep/2025:17:10:59 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/dashboard" [Client 172.19.0.1] [Length 5246] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[11/Sep/2025:17:11:04 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle" [Client 172.19.0.1] [Length 7464] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/dashboard"
[11/Sep/2025:17:11:15 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle?search=JOSE+JUNIOR&per_page=5" [Client 172.19.0.1] [Length 6075] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle"
[11/Sep/2025:17:11:23 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle/162/edit" [Client 172.19.0.1] [Length 6284] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle?search=JOSE+JUNIOR&per_page=5"
[11/Sep/2025:17:11:34 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle/162" [Client 172.19.0.1] [Length 5758] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle?search=JOSE+JUNIOR&per_page=5"
[11/Sep/2025:17:11:43 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_ListaRelatorioPia/162" [Client 172.19.0.1] [Length 8996] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle/162"
[11/Sep/2025:17:12:01 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_RelatorioPia/162" [Client 172.19.0.1] [Length 5277] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle/162"
[11/Sep/2025:17:12:08 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_RelatorioPia/162" [Client 172.19.0.1] [Length 5289] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle/162"
[11/Sep/2025:17:22:28 +0000] - 302 302 - POST https contabilidade.falchi.com.br "/GravaRelatorioPia" [Client 172.19.0.1] [Length 538] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_RelatorioPia/162"
[11/Sep/2025:17:22:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_ListaRelatorioPia/162" [Client 172.19.0.1] [Length 9368] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_RelatorioPia/162"
[11/Sep/2025:17:48:06 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle?search=JOSE+JUNIOR&per_page=5" [Client 172.19.0.1] [Length 5898] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle"
[11/Sep/2025:17:48:07 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/Irmaos_Emaus_FichaControle.showEnviarArquivos/162" [Client 172.19.0.1] [Length 5005] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle?search=JOSE+JUNIOR&per_page=5"
[11/Sep/2025:17:48:35 +0000] - 302 302 - POST https contabilidade.falchi.com.br "/ficha-controle/162/arquivos" [Client 172.19.0.1] [Length 510] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle.showEnviarArquivos/162"
[11/Sep/2025:17:48:35 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/ficha-controle/162/arquivos" [Client 172.19.0.1] [Length 4601] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle.showEnviarArquivos/162"
[11/Sep/2025:17:48:37 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/storage/ficha_controle_arquivos/JFillyxdKuFfK6f3sHSc734ypoTq2kVBJrU9Izvm.pdf" [Client 172.19.0.1] [Length 183049] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/ficha-controle/162/arquivos"
